id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
511064,2508340,TRUE,17,Entire rental unit,Entire home/apt,$138.00,2,38,4.59,0.36
522028,2306935,TRUE,1,Entire rental unit,Entire home/apt,$83.00,2,269,4.6,2.46
527612,285938,FALSE,4,Entire rental unit,Entire home/apt,$123.00,3,44,4.6,0.6
531274,2604353,TRUE,1,Private room in rental unit,Private room,$72.00,2,317,4.76,2.91
531863,2613819,FALSE,1,Entire rental unit,Entire home/apt,$121.00,2,166,4.67,1.6
534348,571311,FALSE,8,Private room in guesthouse,Private room,$80.00,1,4,4,0.05
534360,571311,FALSE,8,Private room in guesthouse,Private room,$89.00,1,9,4.33,0.11
534364,571311,FALSE,8,Private room in rental unit,Private room,$107.00,1,2,4,0.03
534374,571311,FALSE,8,Private room in guesthouse,Private room,$123.00,1,0,NA,NA
534382,571311,FALSE,8,Private room in guesthouse,Private room,$138.00,1,11,4.91,0.33
534387,571311,FALSE,8,Private room in guesthouse,Private room,$156.00,1,3,4.33,0.07
536332,2634978,FALSE,124,Entire rental unit,Entire home/apt,$120.00,3,32,4.48,0.33
537029,2637692,FALSE,3,Private room in rental unit,Private room,$109.00,1,99,4.28,0.92
540832,2658606,TRUE,1,Entire rental unit,Entire home/apt,$195.00,3,78,4.77,0.93
544361,2196999,TRUE,4,Entire residential home,Entire home/apt,$130.00,2,106,4.71,1.11
544834,2679233,TRUE,1,Entire rental unit,Entire home/apt,$100.00,3,169,4.93,1.83
544984,2679513,FALSE,2,Entire rental unit,Entire home/apt,$89.00,3,296,4.8,2.77
554627,2637692,FALSE,3,Private room in rental unit,Private room,$99.00,1,85,4,0.78
556786,2737661,FALSE,3,Private room in bed and breakfast,Private room,$160.00,2,0,NA,NA
563510,2634978,FALSE,124,Entire rental unit,Entire home/apt,$441.00,3,150,4.79,1.54
567154,2790016,FALSE,2,Entire loft,Entire home/apt,$95.00,4,115,4.86,1.14
574922,2635450,TRUE,2,Entire rental unit,Entire home/apt,$89.00,2,209,4.89,2
583792,2602970,FALSE,7,Entire rental unit,Entire home/apt,$46.00,1,610,4.13,5.58
589316,2906995,TRUE,3,Entire rental unit,Entire home/apt,$90.00,2,68,4.74,0.68
595483,2737661,FALSE,3,Private room in bed and breakfast,Private room,$130.00,2,3,4.67,0.04
603168,2985972,TRUE,3,Private room in rental unit,Private room,$45.00,3,399,4.74,3.97
617429,3060084,FALSE,8,Room in boutique hotel,Hotel room,$115.00,1,83,4.61,3.33
620968,1813795,TRUE,5,Private room in rental unit,Private room,$160.00,1,129,4.77,1.22
623236,1104205,FALSE,2,Private room in rental unit,Private room,$85.00,2,239,4.51,2.28
625138,564594,TRUE,6,Entire rental unit,Entire home/apt,$66.00,1,110,4.3,1.03
630388,381172,FALSE,1,Entire residential home,Entire home/apt,$54.00,3,149,4.55,1.77
634018,3156876,FALSE,4,Private room in rental unit,Private room,$40.00,2,258,4.74,2.98
634685,3161400,FALSE,4,Private room in residential home,Private room,$48.00,2,296,4.6,3
634707,606597,FALSE,2,Private room in rental unit,Private room,$60.00,3,9,4.56,0.1
634968,3163071,FALSE,1,Private room in residential home,Private room,$99.00,1,7,4.57,0.08
636637,3174141,TRUE,1,Entire rental unit,Entire home/apt,$300.00,3,117,4.72,1.16
641360,3204162,FALSE,1,Entire guesthouse,Entire home/apt,$120.00,3,263,4.77,2.55
648497,3215031,TRUE,3,Entire rental unit,Entire home/apt,$164.00,3,230,4.82,2.23
649092,2399510,FALSE,4,Entire rental unit,Entire home/apt,$120.00,2,104,4.32,0.97
650767,3268637,FALSE,2,Entire rental unit,Entire home/apt,$88.00,2,48,4.46,0.48
652874,3281444,FALSE,4,Entire rental unit,Entire home/apt,$86.00,2,277,4.48,2.57
655245,3161400,FALSE,4,Private room in residential home,Private room,$56.00,2,278,4.61,2.78
673910,3437195,FALSE,5,Private room in bed and breakfast,Private room,$111.00,1,151,4.74,1.52
676323,3437195,FALSE,5,Room in boutique hotel,Private room,$119.00,1,131,4.74,1.38
681801,425369,FALSE,4,Entire rental unit,Entire home/apt,$32.00,2,89,4.4,0.88
686102,3499666,TRUE,2,Entire rental unit,Entire home/apt,$160.00,3,127,4.76,1.35
689490,2825961,FALSE,3,Entire rental unit,Entire home/apt,$168.00,1,263,4.65,2.56
690288,3526444,FALSE,2,Entire rental unit,Entire home/apt,$63.00,5,85,4.06,0.86
693812,3549494,FALSE,7,Entire rental unit,Entire home/apt,$116.00,1,58,4.79,0.78
694828,3556311,TRUE,2,Entire rental unit,Entire home/apt,$76.00,3,345,4.92,3.33
702745,1813795,TRUE,5,Private room in rental unit,Private room,$69.00,1,196,4.79,2.04
703732,3613869,TRUE,1,Entire rental unit,Entire home/apt,$60.00,3,192,4.89,2.01
707115,1438903,FALSE,25,Entire rental unit,Entire home/apt,$336.00,7,48,4.53,0.57
707434,3206872,TRUE,1,Entire rental unit,Entire home/apt,$100.00,3,183,4.94,1.77
713783,3674980,TRUE,4,Entire rental unit,Entire home/apt,$124.00,2,39,4.77,0.48
713788,3674980,TRUE,4,Entire rental unit,Entire home/apt,$100.00,3,46,4.57,0.49
719981,3715828,FALSE,1,Entire rental unit,Entire home/apt,$120.00,3,189,4.91,1.77
721517,510349,TRUE,0,Entire rental unit,Entire home/apt,$74.00,2,157,4.94,1.57
724156,289615,FALSE,100,Entire rental unit,Entire home/apt,$188.00,2,26,4.23,0.27
724334,289615,FALSE,100,Entire rental unit,Entire home/apt,$188.00,2,35,4.56,0.39
